record,endTime,artistName,trackName,msPlayed
,7/1/2023 0:04,Don Toliver,"Givin’ Up (Not The One) (Don Toliver & 21 Savage, 2 Chainz)",10123
,7/1/2023 0:30,Kanye West,I Wonder,216249
,8/2/2023 16:08,Her's,Dorothy,246230
,8/2/2023 16:09,The Garden,Thy Mission,21366
,8/2/2023 16:11,TV Girl,Pantyhose,177013
,8/2/2023 16:16,The Korgis,Everybody's Got To Learn Sometime,251946
,8/2/2023 16:19,Joy Again,Looking Out for You,179499
,8/2/2023 16:20,Kenny Beats,Hold My Head,106866
,8/2/2023 16:28,Steve Lacy,C U Girl,129697
,8/2/2023 16:31,Her's,Harvey,211165
,8/2/2023 16:35,The Symposium,Red River,202503
,8/2/2023 16:38,Weezer,Island In The Sun,200306
,9/1/2023 0:47,$uicideboy$,"My Swisher Sweet, But My Sig Sauer",227403
,9/1/2023 0:50,Trvp T,First Day Out,152756
,9/1/2023 0:52,$uicideboy$,2nd Hand,143310
,9/1/2023 1:00,$uicideboy$,I No Longer Fear the Razor Guarding My Heel (IV),474157
,9/1/2023 1:03,$uicideboy$,"...And to Those I Love, Thanks for Sticking Around",168489
,9/1/2023 1:07,$uicideboy$,Carrollton,203897
,9/1/2023 1:07,$uicideboy$,"...And to Those I Love, Thanks for Sticking Around",53997
,9/1/2023 1:09,$uicideboy$,Leave Me Alone,110825
,9/1/2023 1:11,Trvp T,Havin My Way,82546
,9/1/2023 1:13,$uicideboy$,Antarctica,126850
,10/1/2023 19:47,Lil Yachty,The Secret Recipe,4380
,10/1/2023 20:13,Lil Yachty,The Secret Recipe,44450
,10/1/2023 20:16,Playboi Carti,Half & Half,129972
,10/1/2023 20:20,Lil Yachty,The Secret Recipe,248661
,10/1/2023 20:25,MF DOOM,Deep Fried Frenz,299626
,10/1/2023 20:27,Pouya,Wig Split,122647
,10/1/2023 20:30,"Tyler, The Creator",WHAT A DAY,216884
,10/1/2023 20:33,Playboi Carti,Lookin,183552
,10/1/2023 20:37,Young Nudy,Butt Naked Bitches,214825
,10/1/2023 20:43,Travis Scott,90210 (feat. Kacy Hill),339066
